Id,Label,timeset,modularity_class,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality,nodecolor-multimode,Authority,Hub
1601424433,1601424433,,16,0,337,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000032,0
4770162796,4770162796,,3,0,2249,1,3,4,1,3,4,1,1,1,9,0,0.056342,red,0.000081,0.000622
1269252393071329281,1269252393071329281,,13,0,2450,1,1,2,1,1,2,1,1,1,2,0,0.031882,blue,0.000018,0.000001
1141054082943201281,1141054082943201281,,3,0,2125,3,0,3,4,0,4,0,0,0,0,0,0.051519,blue,0.024996,0
2634332538,2634332538,,10,0,2236,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0.000015,0
936166071546949632,936166071546949632,,3,0,2124,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
957078852320215041,957078852320215041,,10,0,60,1,4,5,1,4,5,1,1,1,4,0,0.009818,red,0.000063,0.000591
972489208488067072,972489208488067072,,3,0,2123,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
47592899,47592899,,3,0,2415,1,3,4,1,3,4,3,0.5,0.590909,6,0,0.178756,red,0.000029,0.000035
1162938196327407618,1162938196327407618,,10,0,2235,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0.000015,0
148701614,148701614,,3,0,2122,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.0242,0
921142891262631936,921142891262631936,,10,0,2484,2,2,4,2,2,4,1,1,1,3,0,0.019637,red,0.000079,0.000026
1040425140738154496,1040425140738154496,,3,0,2248,3,0,3,3,0,3,0,0,0,0,0,0.245116,blue,0.000017,0
959162859383959552,959162859383959552,,10,0,187,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
1203369522092097541,1203369522092097541,,3,0,2485,0,1,1,0,1,1,1,1,1,0,0,0,red,0,0.00059
1189676662784503811,1189676662784503811,,39,0,2394,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0,0
