Source, Target, Date Start
1146555342286938122, 1220106766718885888,07-06-20 23:56:45
1146555342286938122, 560035631,07-06-20 23:56:44
1070126918404517888, 970838982446669824,07-06-20 23:56:44
2845299511, 311135398,07-06-20 23:56:44
1070126918404517888, 1069665522,07-06-20 23:56:44
1146555342286938122, 892566652684034050,07-06-20 23:56:44
1070126918404517888, 760886006,07-06-20 23:56:43
19538986, 1032409541797769218,07-06-20 23:56:43
1146555342286938122, 1220109159636467718,07-06-20 23:56:42
222680234, 1155448341439713282,07-06-20 23:56:42
16411682, 1060388976765284352,07-06-20 23:56:42
862145729472716801, 1964585114,07-06-20 23:56:41
286553778, 952008997141299200,07-06-20 23:56:40
1146555342286938122, 197689715,07-06-20 23:56:40
1146555342286938122, 1264285432407224320,07-06-20 23:56:39
1146555342286938122, 169529195,07-06-20 23:56:39
18840710, 1230717393892102151,07-06-20 23:56:39
1146555342286938122, 984029922409709570,07-06-20 23:56:39
1146555342286938122, 498781170,07-06-20 23:56:39
1146555342286938122, 965963987585306624,07-06-20 23:56:38
107072215, 811335467647938560,07-06-20 23:56:38
151603912, 924392983000240128,07-06-20 23:56:38
15825051, 1269229795247894528,07-06-20 23:56:38
954887105347452929, 858334479898759174,07-06-20 23:56:37
2319770336, 90034008,07-06-20 23:56:37
1146555342286938122, 1229571444914282497,07-06-20 23:56:37
335489061, 1040359154148368384,07-06-20 23:56:37
1115646221710811136, 999353280210796546,07-06-20 23:56:36
1006198505470349312, 1060388976765284352,07-06-20 23:56:36
1146555342286938122, 924374466007838722,07-06-20 23:56:36
15825051, 1262840550,07-06-20 23:56:35
1146555342286938122, 406920693,07-06-20 23:56:35
1146555342286938122, 1000514354,07-06-20 23:56:34
15825051, 1123620819148476417,07-06-20 23:56:34
1070126918404517888, 325886066,07-06-20 23:56:34
1146555342286938122, 864887237980323842,07-06-20 23:56:34
1070126918404517888, 450326072,07-06-20 23:56:33
1085237795231215617, 352270780,07-06-20 23:56:33
1221537100862050305, 1122820866419699715,07-06-20 23:56:33
1058344182610300930, 1943042131,07-06-20 23:56:32
1120170803750825985, 2585226949,07-06-20 23:56:32
1070126918404517888, 1009482173118894080,07-06-20 23:56:32
1146555342286938122, 1121916522106982401,07-06-20 23:56:31
1146555342286938122, 1194371663812386818,07-06-20 23:56:31
1146555342286938122, 1888183530,07-06-20 23:56:31
107072215, 1076827368780529665,07-06-20 23:56:31
909859700669378562, 3050249753,07-06-20 23:56:30
1146555342286938122, 1116546113920618496,07-06-20 23:56:30
919229263055872000, 1117067995451469832,07-06-20 23:56:30
1146555342286938122, 1179089575626629121,07-06-20 23:56:30
1146555342286938122, 1319386142,07-06-20 23:56:29
2319770336, 1613614813,07-06-20 23:56:28
18840710, 1031621436,07-06-20 23:56:27
1146555342286938122, 1005705740663676929,07-06-20 23:56:27
222680234, 774393971132948480,07-06-20 23:56:27
1146555342286938122, 892250765204615169,07-06-20 23:56:27
1146555342286938122, 995164234873884672,07-06-20 23:56:26
1146555342286938122, 2925366118,07-06-20 23:56:26
1146555342286938122, 3121794176,07-06-20 23:56:26
978420703748767744, 1142099634078330881,07-06-20 23:56:26
1081008252211658752, 879379681182588928,07-06-20 23:56:25
2208055752, 906316070415454208,07-06-20 23:56:25
1146555342286938122, 1204227335534235648,07-06-20 23:56:25
1146555342286938122, 546304190,07-06-20 23:56:25
1085237795231215617, 2683782662,07-06-20 23:56:24
1070126918404517888, 999797321209597953,07-06-20 23:56:24
954887105347452929, 872933005823574017,07-06-20 23:56:23
107072215, 1180017763517112320,07-06-20 23:56:23
15825051, 1001157700565205000,07-06-20 23:56:23
1221537100862050305, 340167474,07-06-20 23:56:22
11277292, 90863809,07-06-20 23:56:22
1146555342286938122, 1010516421221208065,07-06-20 23:56:21
862145729472716801, 936595172300697600,07-06-20 23:56:21
15825051, 541362871,07-06-20 23:56:21
1146555342286938122, 963413959083679744,07-06-20 23:56:21
1146555342286938122, 1400776884,07-06-20 23:56:21
1146555342286938122, 2463830107,07-06-20 23:56:21
954887105347452929, 821514496070008832,07-06-20 23:56:21
1146555342286938122, 574608844,07-06-20 23:56:21
15825051, 44320472,07-06-20 23:56:20
1070126918404517888, 762234728,07-06-20 23:56:20
241272963, 996550528090943489,07-06-20 23:56:20
1146555342286938122, 2378921606,07-06-20 23:56:20
1146555342286938122, 836355048560959488,07-06-20 23:56:20
1146555342286938122, 860162403102797825,07-06-20 23:56:19
15825051, 49191893,07-06-20 23:56:18
850935033766522880, 803803761214832640,07-06-20 23:56:17
1146555342286938122, 14706336,07-06-20 23:56:17
156567632, 704986469128011776,07-06-20 23:56:17
1146555342286938122, 2280511219,07-06-20 23:56:17
1146555342286938122, 3250849871,07-06-20 23:56:16
1206862388022173697, 1202674183244668928,07-06-20 23:56:16
1146555342286938122, 1014876330230452230,07-06-20 23:56:16
1146555342286938122, 1158656635155488770,07-06-20 23:56:16
362655140, 66365462,07-06-20 23:56:16
1070126918404517888, 1135887560545202176,07-06-20 23:56:16
1223412986775265280, 884826099884208130,07-06-20 23:56:15
1146555342286938122, 1020720791850168320,07-06-20 23:56:14
1146555342286938122, 1003823096464363520,07-06-20 23:56:14
954887105347452929, 988188313378066433,07-06-20 23:56:14
854218766883749890, 1178115712465821696,07-06-20 23:56:13
1146555342286938122, 974457453411799040,07-06-20 23:56:13
222680234, 952241580383064064,07-06-20 23:56:13
1199438801334145025, 1613614813,07-06-20 23:56:12
954887105347452929, 1237787442310193154,07-06-20 23:56:12
335489061, 859896160856805377,07-06-20 23:56:11
15825051, 951402841490550784,07-06-20 23:56:11
33044293, 959814268261715971,07-06-20 23:56:10
1085237795231215617, 467256944,07-06-20 23:56:10
1242108921780764676, 1029022323226103808,07-06-20 23:56:10
1146555342286938122, 1218796588652322816,07-06-20 23:56:09
1146555342286938122, 1028157160906059776,07-06-20 23:56:09
1146555342286938122, 2395444446,07-06-20 23:56:09
1146555342286938122, 3861737413,07-06-20 23:56:09
1146555342286938122, 917850139745800192,07-06-20 23:56:09
761881131755065344, 1032993824102961152,07-06-20 23:56:09
1199438801334145025, 1251040503790886912,07-06-20 23:56:08
954887105347452929, 1203866354140483584,07-06-20 23:56:07
1146555342286938122, 959638805467742209,07-06-20 23:56:07
1205632938596978688, 752086743042498560,07-06-20 23:56:07
1146555342286938122, 309535842,07-06-20 23:56:07
1146555342286938122, 3038504516,07-06-20 23:56:06
1146555342286938122, 1230295783783555072,07-06-20 23:56:06
15825051, 1142305598354198528,07-06-20 23:56:06
850935033766522880, 851572522156003330,07-06-20 23:56:05
107072215, 2750741690,07-06-20 23:56:05
11277292, 924392983000240128,07-06-20 23:56:05
91728281, 1116860696673882114,07-06-20 23:56:04
1041034278, 1227024385531240449,07-06-20 23:56:03
963065672, 1026258191934472192,07-06-20 23:56:03
2729784259, 1087824248717086726,07-06-20 23:56:02
1146555342286938122, 1062268734776078336,07-06-20 23:56:02
1146555342286938122, 969317676085465088,07-06-20 23:56:02
806179924407107585, 44320472,07-06-20 23:56:02
15825051, 1196236604559515648,07-06-20 23:56:02
1146555342286938122, 2477503608,07-06-20 23:56:01
953663868659798017, 859896160856805377,07-06-20 23:56:01
978420703748767744, 1136197538191560704,07-06-20 23:55:58
107072215, 919240687287177217,07-06-20 23:55:58
1146555342286938122, 915914406671904774,07-06-20 23:55:58
1146555342286938122, 243170033,07-06-20 23:55:57
1132769755453120519, 859553289632976896,07-06-20 23:55:57
1146555342286938122, 1248155002729836544,07-06-20 23:55:57
1146555342286938122, 82818338,07-06-20 23:55:57
1115646221710811136, 538708710,07-06-20 23:55:57
1085237795231215617, 856750966862827520,07-06-20 23:55:57
1146555342286938122, 872717414097727488,07-06-20 23:55:56
864525927438536707, 827333965958828032,07-06-20 23:55:56
335489061, 1268779309071650816,07-06-20 23:55:56
850935033766522880, 117658102,07-06-20 23:55:56
4822956857, 3153628676,07-06-20 23:55:56
1146555342286938122, 1174241151882321922,07-06-20 23:55:56
1146555342286938122, 1062060617694093312,07-06-20 23:55:55
907034217636343809, 934803387538984960,07-06-20 23:55:55
83838592, 811335467647938560,07-06-20 23:55:55
1146555342286938122, 1091327750122672129,07-06-20 23:55:55
1070126918404517888, 827073123824590848,07-06-20 23:55:54
1146555342286938122, 1220437614647480320,07-06-20 23:55:53
2700060886, 3001492270,07-06-20 23:55:53
1146555342286938122, 1027524633367465986,07-06-20 23:55:52
1115646221710811136, 767448440079081476,07-06-20 23:55:52
107072215, 1069990205652955137,07-06-20 23:55:52
1041034278, 289520811,07-06-20 23:55:51
107072215, 93824991,07-06-20 23:55:50
362655140, 851122195740995584,07-06-20 23:55:50
1146555342286938122, 1030177607554424834,07-06-20 23:55:49
1146555342286938122, 1008195868992761857,07-06-20 23:55:49
446736941, 1055458750411067398,07-06-20 23:55:49
1146555342286938122, 1091279927284879360,07-06-20 23:55:49
1070126918404517888, 1114669191389372416,07-06-20 23:55:48
15825051, 352566789,07-06-20 23:55:48
1115646221710811136, 971950869833965568,07-06-20 23:55:48
1146555342286938122, 989932392918876160,07-06-20 23:55:48
1146555342286938122, 866081098375344128,07-06-20 23:55:47
862145729472716801, 1202874323033309184,07-06-20 23:55:47
11277292, 859896160856805377,07-06-20 23:55:46
21212532, 878708861825421312,07-06-20 23:55:46
107072215, 948892011850944513,07-06-20 23:55:46
864525927438536707, 1130656737810440192,07-06-20 23:55:45
850935033766522880, 18765668,07-06-20 23:55:45
1070126918404517888, 1091327750122672129,07-06-20 23:55:44
1070126918404517888, 1154166776705372161,07-06-20 23:55:44
1146555342286938122, 1136233017909731328,07-06-20 23:55:44
864525927438536707, 1078275380597780480,07-06-20 23:55:43
1146555342286938122, 960649543380619264,07-06-20 23:55:43
19538986, 859896160856805377,07-06-20 23:55:43
1085237795231215617, 811335467647938560,07-06-20 23:55:42
1146555342286938122, 1063281485388685319,07-06-20 23:55:42
19538986, 233503464,07-06-20 23:55:42
19923638, 700529292006952960,07-06-20 23:55:41
1146555342286938122, 540275008,07-06-20 23:55:41
2729784259, 1238571126625878016,07-06-20 23:55:39
1146555342286938122, 1231978692013744128,07-06-20 23:55:39
1146555342286938122, 944889999639699458,07-06-20 23:55:39
1146555342286938122, 901624107078270977,07-06-20 23:55:39
1146555342286938122, 1268553774206943232,07-06-20 23:55:39
1146555342286938122, 949344866588340226,07-06-20 23:55:39
15825051, 2355811824,07-06-20 23:55:38
15825051, 957993031860236288,07-06-20 23:55:38
1070126918404517888, 3657820164,07-06-20 23:55:38
1146555342286938122, 953641595722715137,07-06-20 23:55:37
1146555342286938122, 802237074556469248,07-06-20 23:55:37
1146555342286938122, 1015409312519241728,07-06-20 23:55:36
15825051, 859896160856805377,07-06-20 23:55:36
107072215, 1071118172059627520,07-06-20 23:55:36
1006198505470349312, 770230222683836416,07-06-20 23:55:36
1146555342286938122, 1128465249428856832,07-06-20 23:55:35
1146555342286938122, 1261433460213727233,07-06-20 23:55:35
1146555342286938122, 994746320861716486,07-06-20 23:55:35
1066125334523854848, 1119698831468318722,07-06-20 23:55:35
1146555342286938122, 999797321209597953,07-06-20 23:55:34
1070126918404517888, 2903389069,07-06-20 23:55:34
1146555342286938122, 884278313010835458,07-06-20 23:55:34
1146555342286938122, 1115250637154000897,07-06-20 23:55:33
1146555342286938122, 990937132838535168,07-06-20 23:55:32
1085237795231215617, 1114845236671307776,07-06-20 23:55:32
1146555342286938122, 995832968227700736,07-06-20 23:55:31
1146555342286938122, 2984636286,07-06-20 23:55:31
1146555342286938122, 1121288439712952321,07-06-20 23:55:31
1146555342286938122, 931195872553111553,07-06-20 23:55:31
1146555342286938122, 1089134094246662144,07-06-20 23:55:30
2335628882, 1127307088940683265,07-06-20 23:55:30
362655140, 859896160856805377,07-06-20 23:55:29
850935033766522880, 274229513,07-06-20 23:55:29
15825051, 826855764107153415,07-06-20 23:55:29
1146555342286938122, 1248098855805206528,07-06-20 23:55:29
15825051, 952560049569837056,07-06-20 23:55:27
83838592, 811335467647938560,07-06-20 23:55:27
1388575908, 1021830850357473280,07-06-20 23:55:27
1146555342286938122, 1110730587827044352,07-06-20 23:55:27
222680234, 1062340888561516544,07-06-20 23:55:27
1146555342286938122, 1025315229628956672,07-06-20 23:55:26
33032283, 859236927245078530,07-06-20 23:55:26
1041034278, 1684249387,07-06-20 23:55:26
1146555342286938122, 287179026,07-06-20 23:55:26
83838592, 996215655434149889,07-06-20 23:55:25
1146555342286938122, 1049517405620310016,07-06-20 23:55:25
1146555342286938122, 1030727104273383424,07-06-20 23:55:25
1146555342286938122, 1267112929809305604,07-06-20 23:55:25
15825051, 3324680789,07-06-20 23:55:24
1146555342286938122, 705165813083463680,07-06-20 23:55:24
1146555342286938122, 954764675257913345,07-06-20 23:55:24
15825051, 798252258148360192,07-06-20 23:55:23
1146555342286938122, 875984448533086208,07-06-20 23:55:22
1146555342286938122, 54831130,07-06-20 23:55:22
1146555342286938122, 914312880689958912,07-06-20 23:55:21
1221537100862050305, 919253047846588417,07-06-20 23:55:20
222680234, 2893378950,07-06-20 23:55:20
1146555342286938122, 701506621663383552,07-06-20 23:55:20
1146555342286938122, 919347750084292608,07-06-20 23:55:19
1085237795231215617, 1120937480524419072,07-06-20 23:55:19
222680234, 817536707482374145,07-06-20 23:55:19
1146555342286938122, 1212499537136214017,07-06-20 23:55:18
1563454141, 505836008,07-06-20 23:55:18
1146555342286938122, 1063016469544366081,07-06-20 23:55:18
1146555342286938122, 950365288196911104,07-06-20 23:55:18
1146555342286938122, 868912103226212352,07-06-20 23:55:18
107072215, 1193873044571402240,07-06-20 23:55:17
999634489490882560, 3038504516,07-06-20 23:55:17
1120396122172710915, 76723693,07-06-20 23:55:17
1146555342286938122, 2743378089,07-06-20 23:55:16
864525927438536707, 741498273253363712,07-06-20 23:55:16
1146555342286938122, 4305637227,07-06-20 23:55:15
859890553823035394, 794506431164796928,07-06-20 23:55:15
1146555342286938122, 1130438709159923712,07-06-20 23:55:15
1146555342286938122, 995395965405290496,07-06-20 23:55:14
18840710, 4099189408,07-06-20 23:55:14
1146555342286938122, 1187322989936664576,07-06-20 23:55:13
18840710, 878708861825421312,07-06-20 23:55:13
1148936667622989826, 3414265090,07-06-20 23:55:12
1146555342286938122, 729127141791563776,07-06-20 23:55:12
1146555342286938122, 2833587780,07-06-20 23:55:12
1146555342286938122, 1484010120,07-06-20 23:55:11
1146555342286938122, 24281632,07-06-20 23:55:10
15825051, 1114441491076669441,07-06-20 23:55:10
19923638, 779325604998946817,07-06-20 23:55:10
446736941, 1028970553581830145,07-06-20 23:55:10
850935033766522880, 943886126594560002,07-06-20 23:55:09
1070126918404517888, 1102210995181756416,07-06-20 23:55:08
1085237795231215617, 884209932626567168,07-06-20 23:55:08
1146555342286938122, 1073635086514307072,07-06-20 23:55:08
1146555342286938122, 1188875935409430529,07-06-20 23:55:07
1146555342286938122, 904116113096757249,07-06-20 23:55:07
1146555342286938122, 1092693329941164032,07-06-20 23:55:07
1146555342286938122, 1176759813872635906,07-06-20 23:55:07
1146555342286938122, 745669293640122369,07-06-20 23:55:06
15825051, 4870691309,07-06-20 23:55:06
1001737094622949377, 918616771237765122,07-06-20 23:55:05
806179924407107585, 999797321209597953,07-06-20 23:55:05
1058344182610300930, 103101218,07-06-20 23:55:05
2845299511, 1943042131,07-06-20 23:55:05
1146555342286938122, 1014760698000228352,07-06-20 23:55:05
107072215, 2539666792,07-06-20 23:55:04
15825051, 1389986515,07-06-20 23:55:04
1041034278, 4099189408,07-06-20 23:55:04
972611390757310464, 545415105,07-06-20 23:55:04
1146555342286938122, 3407167749,07-06-20 23:55:03
1146555342286938122, 167256773,07-06-20 23:55:03
